Année;Périmètre juridique;Legal Perimeter;Périmètre spatial;Spatial Perimeter;Filiere;Sector;Energie produite;Unité;Méthode de consolidation
1996;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;374877.905;GWh;nette
1996;EDF EPIC + SHEM + CNR;EDF EPIC + SHEM + CNR;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;63738.61;GWh;nette
1995;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;358337.278;GWh;nette
1995;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;16080.664;GWh;nette
1995;EDF EPIC + SHEM + CNR;EDF EPIC + SHEM + CNR;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;69458.954;GWh;nette
1994;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;340156.135;GWh;nette
1994;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;12430.035;GWh;nette
1994;EDF EPIC + SHEM + CNR;EDF EPIC + SHEM + CNR;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;74132.88;GWh;nette
1993;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;348467.372;GWh;nette
1993;EDF EPIC + SHEM + CNR;EDF EPIC + SHEM + CNR;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;62106.248999999996;GWh;nette
1993;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;11880.192;GWh;nette
1992;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;319338.663;GWh;nette
1992;EDF EPIC + SHEM + CNR;EDF EPIC + SHEM + CNR;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;66472.954;GWh;nette
1992;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;29842.909;GWh;nette
1991;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;309868.835;GWh;nette
1991;EDF EPIC + SHEM + CNR;EDF EPIC + SHEM + CNR;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;56217.651;GWh;nette
1991;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;37008.34;GWh;nette
1990;EDF EPIC + SHEM + CNR;EDF EPIC + SHEM + CNR;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;52639.677;GWh;nette
1990;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;289903.518;GWh;nette
1990;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;24593.236;GWh;nette
1989;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;26019.681;GWh;nette
1989;EDF EPIC + SHEM + CNR;EDF EPIC + SHEM + CNR;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;46297.812;GWh;nette
1989;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;278856.553;GWh;nette
1988;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;260067.873;GWh;nette
1988;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;12835.917;GWh;nette
1988;EDF EPIC + SHEM + CNR;EDF EPIC + SHEM + CNR;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;72761.65;GWh;nette
1987;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;251298.983;GWh;nette
1987;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;12392.382;GWh;nette
1987;EDF EPIC + SHEM + CNR;EDF EPIC + SHEM + CNR;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Hydraulique;Hydraulic;65964.97099999999;GWh;nette
1986;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;16355.797;GWh;nette
1986;Exploitation EDF : EDF EPIC + SHEM + CNR + Autres;Under operation EDF : EDF EPIC + SHEM + CNR + Others;France métropolitaine;Metropolitan France;Hydraulique;Hydraulic;59315.0;GWh;nette
1986;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;241109.563;GWh;nette
1985;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;213083.253;GWh;nette
1985;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;27741.444;GWh;nette
1985;Exploitation EDF : EDF EPIC + SHEM + CNR + Autres;Under operation EDF : EDF EPIC + SHEM + CNR + Others;France métropolitaine;Metropolitan France;Hydraulique;Hydraulic;58296.0;GWh;nette
1984;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;181555.052;GWh;nette
1984;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;35333.852;GWh;nette
1984;Exploitation EDF : EDF EPIC + SHEM + CNR + Autres;Under operation EDF : EDF EPIC + SHEM + CNR + Others;France métropolitaine;Metropolitan France;Hydraulique;Hydraulic;61862.0;GWh;nette
1983;Exploitation EDF : EDF EPIC + SHEM + CNR + Autres;Under operation EDF : EDF EPIC + SHEM + CNR + Others;France métropolitaine;Metropolitan France;Hydraulique;Hydraulic;65356.0;GWh;nette
1983;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;136678.416;GWh;nette
1983;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;50754.851;GWh;nette
1982;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;102837.861;GWh;nette
1982;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;66600.978;GWh;nette
1982;Exploitation EDF : EDF EPIC + SHEM + CNR + Autres;Under operation EDF : EDF EPIC + SHEM + CNR + Others;France métropolitaine;Metropolitan France;Hydraulique;Hydraulic;65320.0;GWh;nette
1981;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;99168.203;GWh;nette
1981;Exploitation EDF : EDF EPIC + SHEM + CNR + Autres;Under operation EDF : EDF EPIC + SHEM + CNR + Others;France métropolitaine;Metropolitan France;Hydraulique;Hydraulic;66888.0;GWh;nette
1981;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;67706.302;GWh;nette
1980;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;57497.091;GWh;nette
1980;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;90078.48;GWh;nette
1980;Exploitation EDF : EDF EPIC + SHEM + CNR + Autres;Under operation EDF : EDF EPIC + SHEM + CNR + Others;France métropolitaine;Metropolitan France;Hydraulique;Hydraulic;64393.0;GWh;nette
1979;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;94820.284;GWh;nette
1979;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;37439.436;GWh;nette
1979;Exploitation EDF : EDF EPIC + SHEM + CNR + Autres;Under operation EDF : EDF EPIC + SHEM + CNR + Others;France métropolitaine;Metropolitan France;Hydraulique;Hydraulic;61688.0;GWh;nette
1978;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;28638.886;GWh;nette
1978;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;91378.45;GWh;nette
1978;Exploitation EDF : EDF EPIC + SHEM + CNR + Autres;Under operation EDF : EDF EPIC + SHEM + CNR + Others;France métropolitaine;Metropolitan France;Hydraulique;Hydraulic;63568.0;GWh;nette
1977;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Nucléaire;Nuclear;16497.713;GWh;nette
1977;EDF EPIC;EDF EPIC;France métropolitaine, mais sans la Corse ni les îles du Ponant;Metropolitan France, but without Corsica and the Ponant Islands;Thermique à flamme;Flame thermal;81777.689;GWh;nette
